問い合わせID,受付日時,初回応答日時,解決日時,チャネル,製品,カテゴリ,中分類,問い合わせ種別,優先度番号,優先度,顧客区分,ステータス番号,ステータス,フェーズ番号,フェーズ,エスカレ有無,再オープン有無,対応チーム,担当者,満足度,件名,自由記述
INQ-202408-00112,2024-08-13 15:59,2024-08-13 19:56,2024-08-15 19:56,Web,クラウド経費,使い方,初期設定,クレーム,2,中,個人事業主,5,クローズ,5,完了,0,0,一次窓口,田中,4,CSVの取込手順が不明,何度も同じ案内をされた
INQ-202408-00113,2024-08-26 15:13,2024-08-26 19:58,2024-08-29 12:58,チャット,クラウド経費,仕様確認,対応環境,質問,2,中,中小,4,解決,4,解決,0,0,品質保証,渡辺,3,対応ブラウザを確認したい,急ぎで確認したい
INQ-202408-00114,2024-08-28 13:07,2024-08-28 18:56,2024-08-30 10:56,チャット,クラウド経費,不具合,動作が遅い,要望,2,中,中小,5,クローズ,5,完了,0,1,一次窓口,田中,4,データが保存されない,次期アップデートに期待
INQ-202409-00115,2024-09-19 10:27,2024-09-19 16:45,2024-09-21 22:45,メール,スマート勤怠,要望,機能追加,障害報告,2,中,中小,5,クローズ,5,完了,1,0,一次窓口,田中,4,ダークモード対応の希望,至急復旧してほしい
INQ-202409-00116,2024-09-03 15:42,2024-09-03 22:14,2024-09-04 01:14,Web,スマート勤怠,要望,機能追加,質問,2,中,中小,5,クローズ,5,完了,0,0,技術サポート,高橋,5,通知の細分化,マニュアルの場所を知りたい
INQ-202409-00117,2024-09-18 12:14,2024-09-18 12:53,2024-09-19 01:53,電話,スマート勤怠,使い方,初期設定,質問,2,中,中小,4,解決,4,解決,0,0,品質保証,渡辺,4,権限設定について,マニュアルの場所を知りたい
INQ-202409-00118,2024-09-02 11:02,2024-09-02 17:42,2024-09-04 11:42,メール,スマート勤怠,使い方,初期設定,質問,2,中,個人事業主,5,クローズ,5,完了,0,1,品質保証,渡辺,3,権限設定について,マニュアルの場所を知りたい
INQ-202409-00119,2024-09-10 11:35,2024-09-10 18:22,2024-09-13 14:22,Web,クラウド経費,要望,通知改善,要望,1,高,中小,5,クローズ,5,完了,0,0,一次窓口,鈴木,3,エクスポート機能がほしい,他社にはある機能
INQ-202409-00120,2024-09-13 11:34,2024-09-13 13:49,2024-09-14 16:49,メール,クラウド経費,使い方,操作方法,要望,2,中,個人事業主,5,クローズ,5,完了,0,0,品質保証,渡辺,3,CSVの取込手順が不明,他社にはある機能
INQ-202409-00121,2024-09-03 14:53,2024-09-03 22:23,2024-09-05 17:23,電話,スマート勤怠,仕様確認,対応環境,要望,3,低,大企業,5,クローズ,5,完了,0,1,技術サポート,高橋,3,対応ブラウザを確認したい,次期アップデートに期待
INQ-202409-00122,2024-09-24 10:48,2024-09-24 13:56,2024-09-26 05:56,メール,スマート勤怠,仕様確認,上限・制限,質問,2,中,大企業,5,クローズ,5,完了,0,0,一次窓口,佐藤,3,同時接続数の上限は,急ぎで確認したい
INQ-202409-00123,2024-09-04 16:46,2024-09-04 21:50,2024-09-07 03:50,メール,クラウド経費,要望,UI改善,質問,3,低,大企業,4,解決,4,解決,0,0,技術サポート,高橋,3,エクスポート機能がほしい,急ぎで確認したい
INQ-202409-00124,2024-09-19 16:31,2024-09-19 22:44,2024-09-22 20:44,メール,クラウド経費,使い方,データ移行,障害報告,2,中,中小,4,解決,4,解決,1,0,一次窓口,佐藤,4,権限設定について,業務が止まっている
INQ-202409-00125,2024-09-17 09:54,2024-09-17 13:52,2024-09-19 13:52,電話,クラウド経費,使い方,初期設定,質問,2,中,個人事業主,4,解決,4,解決,0,0,技術サポート,高橋,1,権限設定について,急ぎで確認したい
INQ-202409-00126,2024-09-16 09:34,2024-09-16 17:24,2024-09-17 16:24,メール,スマート勤怠,不具合,保存エラー,質問,2,中,大企業,5,クローズ,5,完了,0,0,技術サポート,伊藤,2,ログインできない,マニュアルの場所を知りたい
INQ-202409-00127,2024-09-17 11:22,2024-09-17 18:46,2024-09-17 23:46,電話,スマート勤怠,不具合,動作が遅い,質問,2,中,大企業,5,クローズ,5,完了,0,0,一次窓口,田中,2,ログインできない,マニュアルの場所を知りたい
INQ-202409-00128,2024-09-23 10:31,2024-09-23 18:29,2024-09-24 04:29,チャット,クラウド経費,使い方,初期設定,障害報告,2,中,個人事業主,4,解決,4,解決,0,0,品質保証,渡辺,4,権限設定について,業務が止まっている
INQ-202409-00129,2024-09-06 17:20,2024-09-06 22:01,2024-09-08 17:01,電話,スマート勤怠,使い方,データ移行,障害報告,2,中,大企業,5,クローズ,5,完了,1,0,技術サポート,伊藤,4,権限設定について,影響範囲を知りたい
INQ-202409-00130,2024-09-03 13:22,2024-09-03 15:46,2024-09-06 01:46,電話,スマート勤怠,請求,プラン変更,クレーム,2,中,中小,4,解決,4,解決,0,0,品質保証,渡辺,4,契約プランの変更,説明が分かりにくい
INQ-202409-00131,2024-09-06 15:42,2024-09-06 18:29,2024-09-08 17:29,メール,クラウド経費,使い方,操作方法,要望,1,高,大企業,5,クローズ,5,完了,0,0,技術サポート,高橋,2,CSVの取込手順が不明,他社にはある機能
INQ-202409-00132,2024-09-12 15:06,2024-09-12 15:17,2024-09-14 05:17,電話,スマート勤怠,不具合,動作が遅い,質問,2,中,大企業,5,クローズ,5,完了,1,0,技術サポート,伊藤,4,データが保存されない,丁寧に教えてほしい
INQ-202409-00133,2024-09-19 13:43,2024-09-19 15:54,2024-09-22 07:54,メール,スマート勤怠,使い方,データ移行,質問,2,中,大企業,5,クローズ,5,完了,0,0,一次窓口,田中,4,初期設定の方法を知りたい,丁寧に教えてほしい
INQ-202409-00134,2024-09-10 09:25,2024-09-10 14:38,2024-09-11 16:38,メール,クラウド経費,請求,プラン変更,質問,3,低,中小,5,クローズ,5,完了,0,0,技術サポート,高橋,4,契約プランの変更,急ぎで確認したい
INQ-202409-00135,2024-09-10 15:40,2024-09-10 20:24,2024-09-11 20:24,メール,クラウド経費,使い方,データ移行,質問,2,中,個人事業主,5,クローズ,5,完了,0,0,品質保証,渡辺,4,権限設定について,急ぎで確認したい
INQ-202409-00136,2024-09-23 11:51,2024-09-23 18:40,2024-09-25 19:40,メール,クラウド経費,請求,プラン変更,要望,2,中,大企業,5,クローズ,5,完了,0,1,一次窓口,田中,1,契約プランの変更,業務効率化のため必要
INQ-202409-00137,2024-09-13 14:59,2024-09-13 20:40,2024-09-15 18:40,Web,クラウド経費,不具合,保存エラー,要望,2,中,個人事業主,5,クローズ,5,完了,1,0,品質保証,渡辺,2,データが保存されない,業務効率化のため必要
INQ-202409-00138,2024-09-13 18:21,2024-09-13 21:46,2024-09-16 09:46,Web,スマート勤怠,使い方,権限設定,質問,2,中,中小,5,クローズ,5,完了,0,0,技術サポート,高橋,5,権限設定について,丁寧に教えてほしい
INQ-202409-00139,2024-09-12 18:30,2024-09-12 21:33,2024-09-15 10:33,電話,スマート勤怠,要望,機能追加,要望,2,中,中小,5,クローズ,5,完了,0,0,一次窓口,田中,2,ダークモード対応の希望,他社にはある機能
INQ-202409-00140,2024-09-03 11:51,2024-09-03 14:45,2024-09-06 14:45,チャット,スマート勤怠,使い方,初期設定,要望,3,低,大企業,5,クローズ,5,完了,0,0,一次窓口,田中,4,CSVの取込手順が不明,業務効率化のため必要
INQ-202409-00141,2024-09-06 11:42,2024-09-06 18:41,2024-09-07 03:41,メール,スマート勤怠,仕様確認,上限・制限,質問,1,高,中小,5,クローズ,5,完了,0,0,一次窓口,佐藤,4,APIの有無について,丁寧に教えてほしい
INQ-202409-00142,2024-09-12 12:29,2024-09-12 19:30,2024-09-14 10:30,電話,クラウド経費,不具合,保存エラー,クレーム,2,中,中小,5,クローズ,5,完了,0,0,一次窓口,佐藤,5,画面が真っ白になる,対応が遅い
INQ-202410-00143,2024-10-08 11:11,2024-10-08 12:44,2024-10-11 12:44,メール,スマート勤怠,不具合,表示崩れ,クレーム,2,中,中小,5,クローズ,5,完了,0,0,一次窓口,鈴木,2,画面が真っ白になる,何度も同じ案内をされた
INQ-202410-00144,2024-10-02 16:00,2024-10-02 16:20,2024-10-03 21:20,メール,スマート勤怠,不具合,動作が遅い,質問,3,低,中小,4,解決,4,解決,0,0,一次窓口,田中,3,ログインできない,急ぎで確認したい
INQ-202410-00145,2024-10-24 15:31,2024-10-24 16:28,2024-10-26 00:28,メール,スマート勤怠,使い方,権限設定,質問,3,低,中小,5,クローズ,5,完了,0,1,一次窓口,田中,3,CSVの取込手順が不明,急ぎで確認したい
INQ-202410-00146,2024-10-28 16:28,2024-10-28 17:44,2024-10-29 20:44,Web,スマート勤怠,請求,請求書,要望,2,中,中小,4,解決,4,解決,0,1,技術サポート,伊藤,5,支払方法の確認,他社にはある機能
INQ-202410-00147,2024-10-18 11:34,2024-10-18 18:21,2024-10-20 23:21,電話,クラウド経費,使い方,権限設定,障害報告,3,低,中小,5,クローズ,5,完了,1,1,技術サポート,高橋,5,初期設定の方法を知りたい,影響範囲を知りたい
INQ-202410-00148,2024-10-28 10:09,2024-10-28 17:00,2024-10-29 05:00,チャット,クラウド経費,仕様確認,セキュリティ,質問,2,中,中小,4,解決,4,解決,0,0,一次窓口,佐藤,4,APIの有無について,急ぎで確認したい
INQ-202410-00149,2024-10-15 17:20,2024-10-15 20:48,2024-10-17 00:48,メール,クラウド経費,請求,請求書,要望,2,中,中小,5,クローズ,5,完了,0,1,一次窓口,田中,5,契約プランの変更,他社にはある機能
INQ-202410-00150,2024-10-11 16:21,2024-10-12 00:21,2024-10-12 21:21,メール,スマート勤怠,請求,プラン変更,障害報告,1,高,中小,4,解決,4,解決,0,1,技術サポート,伊藤,4,請求書の再発行依頼,影響範囲を知りたい
INQ-202410-00151,2024-10-30 10:41,2024-10-30 16:06,2024-11-01 08:06,メール,クラウド経費,要望,機能追加,クレーム,2,中,大企業,4,解決,4,解決,0,0,品質保証,渡辺,4,ダークモード対応の希望,何度も同じ案内をされた
INQ-202410-00152,2024-10-03 15:00,2024-10-03 19:09,2024-10-04 05:09,電話,スマート勤怠,仕様確認,セキュリティ,質問,3,低,中小,5,クローズ,5,完了,0,0,品質保証,渡辺,3,対応ブラウザを確認したい,丁寧に教えてほしい
INQ-202410-00153,2024-10-11 12:19,2024-10-11 18:33,2024-10-12 22:33,電話,クラウド経費,仕様確認,上限・制限,クレーム,1,高,中小,5,クローズ,5,完了,0,0,技術サポート,高橋,4,同時接続数の上限は,何度も同じ案内をされた
INQ-202410-00154,2024-10-22 12:13,2024-10-22 17:01,2024-10-24 06:01,電話,スマート勤怠,仕様確認,セキュリティ,質問,3,低,中小,4,解決,4,解決,0,0,一次窓口,鈴木,5,APIの有無について,急ぎで確認したい
INQ-202410-00155,2024-10-07 13:32,2024-10-07 16:19,2024-10-08 09:19,電話,スマート勤怠,仕様確認,上限・制限,質問,2,中,大企業,5,クローズ,5,完了,0,1,技術サポート,高橋,4,同時接続数の上限は,急ぎで確認したい
INQ-202410-00156,2024-10-18 15:48,2024-10-18 21:14,2024-10-21 14:14,メール,クラウド経費,使い方,初期設定,質問,3,低,大企業,5,クローズ,5,完了,0,0,品質保証,渡辺,5,CSVの取込手順が不明,丁寧に教えてほしい
INQ-202410-00157,2024-10-21 14:39,2024-10-21 18:27,2024-10-23 01:27,電話,スマート勤怠,使い方,操作方法,障害報告,2,中,大企業,5,クローズ,5,完了,0,0,技術サポート,高橋,1,CSVの取込手順が不明,影響範囲を知りたい
INQ-202410-00158,2024-10-02 11:47,2024-10-02 15:02,2024-10-03 08:02,チャット,スマート勤怠,使い方,操作方法,要望,3,低,大企業,4,解決,4,解決,0,1,一次窓口,鈴木,5,権限設定について,次期アップデートに期待
INQ-202410-00159,2024-10-25 17:21,2024-10-25 19:36,2024-10-26 09:36,チャット,スマート勤怠,使い方,初期設定,質問,1,高,中小,5,クローズ,5,完了,0,0,技術サポート,高橋,5,初期設定の方法を知りたい,丁寧に教えてほしい
INQ-202410-00160,2024-10-24 13:02,2024-10-24 15:14,2024-10-26 21:14,Web,スマート勤怠,使い方,権限設定,質問,3,低,大企業,4,解決,4,解決,0,0,技術サポート,伊藤,5,初期設定の方法を知りたい,マニュアルの場所を知りたい
INQ-202410-00161,2024-10-04 13:57,2024-10-04 18:45,2024-10-07 05:45,電話,スマート勤怠,不具合,ログイン不可,障害報告,2,中,大企業,5,クローズ,5,完了,0,0,一次窓口,佐藤,1,画面が真っ白になる,影響範囲を知りたい
INQ-202410-00162,2024-10-08 13:37,2024-10-08 21:11,2024-10-08 23:11,Web,クラウド経費,仕様確認,上限・制限,質問,1,高,個人事業主,5,クローズ,5,完了,0,0,一次窓口,鈴木,5,APIの有無について,急ぎで確認したい
INQ-202410-00163,2024-10-28 15:19,2024-10-28 23:03,2024-10-31 18:03,電話,スマート勤怠,使い方,データ移行,障害報告,1,高,個人事業主,5,クローズ,5,完了,1,0,一次窓口,田中,4,権限設定について,業務が止まっている
INQ-202410-00164,2024-10-04 13:40,2024-10-04 20:01,2024-10-06 14:01,チャット,スマート勤怠,不具合,動作が遅い,クレーム,2,中,大企業,5,クローズ,5,完了,0,0,技術サポート,伊藤,3,ログインできない,対応が遅い
INQ-202410-00165,2024-10-25 15:06,2024-10-25 16:12,2024-10-26 04:12,電話,スマート勤怠,不具合,動作が遅い,質問,3,低,中小,4,解決,4,解決,1,1,一次窓口,佐藤,2,データが保存されない,マニュアルの場所を知りたい
INQ-202410-00166,2024-10-02 11:54,2024-10-02 15:26,2024-10-05 01:26,メール,スマート勤怠,使い方,権限設定,質問,2,中,大企業,4,解決,4,解決,0,0,技術サポート,高橋,4,初期設定の方法を知りたい,急ぎで確認したい
INQ-202410-00167,2024-10-04 16:08,2024-10-04 18:25,2024-10-05 04:25,電話,スマート勤怠,仕様確認,上限・制限,質問,2,中,個人事業主,5,クローズ,5,完了,0,0,技術サポート,高橋,1,APIの有無について,急ぎで確認したい
INQ-202410-00168,2024-10-03 17:53,2024-10-03 21:36,2024-10-04 20:36,チャット,スマート勤怠,要望,機能追加,質問,3,低,中小,5,クローズ,5,完了,0,1,一次窓口,田中,3,ダークモード対応の希望,急ぎで確認したい
INQ-202410-00169,2024-10-15 16:02,2024-10-15 21:36,2024-10-18 17:36,メール,クラウド経費,仕様確認,セキュリティ,質問,1,高,中小,5,クローズ,5,完了,0,1,一次窓口,田中,3,APIの有無について,丁寧に教えてほしい
INQ-202410-00170,2024-10-23 12:34,2024-10-23 16:40,2024-10-26 12:40,チャット,スマート勤怠,不具合,保存エラー,質問,2,中,大企業,4,解決,4,解決,0,0,一次窓口,佐藤,3,ログインできない,丁寧に教えてほしい
INQ-202410-00171,2024-10-08 15:17,2024-10-08 20:25,2024-10-10 13:25,メール,クラウド経費,仕様確認,上限・制限,クレーム,2,中,個人事業主,4,解決,4,解決,0,0,品質保証,渡辺,5,APIの有無について,対応が遅い
INQ-202410-00172,2024-10-23 15:36,2024-10-23 20:10,2024-10-26 10:10,メール,クラウド経費,使い方,データ移行,質問,1,高,大企業,4,解決,4,解決,0,1,一次窓口,鈴木,1,初期設定の方法を知りたい,丁寧に教えてほしい
INQ-202411-00173,2024-11-11 15:58,2024-11-11 19:14,2024-11-13 22:14,チャット,クラウド経費,使い方,操作方法,クレーム,3,低,個人事業主,5,クローズ,5,完了,0,0,技術サポート,伊藤,4,CSVの取込手順が不明,対応が遅い
INQ-202411-00174,2024-11-06 15:27,2024-11-06 20:33,2024-11-07 19:33,チャット,クラウド経費,仕様確認,上限・制限,要望,3,低,中小,4,解決,4,解決,0,0,技術サポート,伊藤,4,同時接続数の上限は,次期アップデートに期待
INQ-202411-00175,2024-11-06 15:44,2024-11-06 16:42,2024-11-09 08:42,Web,スマート勤怠,要望,通知改善,質問,3,低,中小,5,クローズ,5,完了,0,0,品質保証,渡辺,2,エクスポート機能がほしい,急ぎで確認したい
INQ-202411-00176,2024-11-11 10:56,2024-11-11 17:09,2024-11-11 18:09,Web,クラウド経費,仕様確認,API・連携,質問,2,中,大企業,5,クローズ,5,完了,0,0,一次窓口,佐藤,1,同時接続数の上限は,丁寧に教えてほしい
INQ-202411-00177,2024-11-29 12:56,2024-11-29 20:14,2024-11-30 01:14,メール,スマート勤怠,使い方,データ移行,要望,3,低,中小,4,解決,4,解決,0,0,一次窓口,佐藤,3,初期設定の方法を知りたい,次期アップデートに期待
INQ-202411-00178,2024-11-11 10:24,2024-11-11 11:53,2024-11-13 19:53,電話,スマート勤怠,要望,機能追加,質問,3,低,個人事業主,5,クローズ,5,完了,0,0,技術サポート,伊藤,2,エクスポート機能がほしい,丁寧に教えてほしい
INQ-202411-00179,2024-11-14 15:46,2024-11-14 15:52,2024-11-16 22:52,Web,スマート勤怠,仕様確認,API・連携,質問,2,中,大企業,4,解決,4,解決,0,1,技術サポート,高橋,1,APIの有無について,マニュアルの場所を知りたい
INQ-202411-00180,2024-11-07 10:13,2024-11-07 13:36,2024-11-08 13:36,電話,スマート勤怠,使い方,初期設定,質問,2,中,中小,5,クローズ,5,完了,0,0,技術サポート,高橋,4,初期設定の方法を知りたい,急ぎで確認したい
INQ-202411-00181,2024-11-15 13:14,2024-11-15 20:29,2024-11-17 22:29,チャット,クラウド経費,使い方,初期設定,質問,2,中,中小,5,クローズ,5,完了,0,0,品質保証,渡辺,5,権限設定について,マニュアルの場所を知りたい
INQ-202411-00182,2024-11-28 17:36,2024-11-29 00:08,2024-12-01 10:08,Web,スマート勤怠,使い方,初期設定,質問,3,低,個人事業主,4,解決,4,解決,0,1,技術サポート,高橋,2,初期設定の方法を知りたい,丁寧に教えてほしい
INQ-202411-00183,2024-11-05 09:05,2024-11-05 13:54,2024-11-07 16:54,Web,スマート勤怠,要望,通知改善,質問,2,中,中小,4,解決,4,解決,0,1,技術サポート,高橋,4,通知の細分化,急ぎで確認したい
INQ-202411-00184,2024-11-28 09:44,2024-11-28 14:37,2024-11-29 03:37,メール,スマート勤怠,不具合,動作が遅い,質問,2,中,中小,5,クローズ,5,完了,1,1,品質保証,渡辺,5,画面が真っ白になる,急ぎで確認したい
INQ-202411-00185,2024-11-13 15:36,2024-11-13 16:06,2024-11-16 05:06,メール,スマート勤怠,使い方,操作方法,クレーム,2,中,中小,5,クローズ,5,完了,0,1,一次窓口,佐藤,5,初期設定の方法を知りたい,説明が分かりにくい
INQ-202411-00186,2024-11-27 16:19,2024-11-27 19:57,2024-11-28 07:57,電話,スマート勤怠,仕様確認,対応環境,障害報告,2,中,大企業,4,解決,4,解決,0,1,技術サポート,伊藤,3,APIの有無について,至急復旧してほしい
INQ-202411-00187,2024-11-25 13:23,2024-11-25 15:06,2024-11-26 17:06,チャット,スマート勤怠,使い方,権限設定,要望,3,低,中小,4,解決,4,解決,0,0,一次窓口,鈴木,5,CSVの取込手順が不明,次期アップデートに期待
INQ-202411-00188,2024-11-12 15:17,2024-11-12 18:21,2024-11-14 15:21,メール,スマート勤怠,不具合,ログイン不可,要望,2,中,大企業,5,クローズ,5,完了,1,0,一次窓口,佐藤,2,データが保存されない,次期アップデートに期待
INQ-202411-00189,2024-11-01 12:10,2024-11-01 18:47,2024-11-01 20:47,チャット,クラウド経費,使い方,操作方法,クレーム,2,中,中小,5,クローズ,5,完了,0,0,一次窓口,田中,4,初期設定の方法を知りたい,何度も同じ案内をされた
INQ-202411-00190,2024-11-26 09:16,2024-11-26 13:47,2024-11-28 16:47,メール,クラウド経費,仕様確認,API・連携,質問,2,中,中小,5,クローズ,5,完了,0,0,一次窓口,佐藤,4,APIの有無について,急ぎで確認したい
INQ-202411-00191,2024-11-18 15:38,2024-11-18 21:16,2024-11-20 12:16,電話,クラウド経費,不具合,保存エラー,障害報告,3,低,中小,5,クローズ,5,完了,0,0,一次窓口,鈴木,3,ログインできない,影響範囲を知りたい
INQ-202411-00192,2024-11-13 15:43,2024-11-13 22:45,2024-11-14 23:45,電話,スマート勤怠,不具合,保存エラー,質問,2,中,中小,5,クローズ,5,完了,1,0,一次窓口,鈴木,3,データが保存されない,急ぎで確認したい
INQ-202411-00193,2024-11-22 12:19,2024-11-22 20:04,2024-11-24 15:04,チャット,クラウド経費,要望,機能追加,質問,3,低,中小,5,クローズ,5,完了,0,0,技術サポート,高橋,4,エクスポート機能がほしい,マニュアルの場所を知りたい
INQ-202411-00194,2024-11-28 11:50,2024-11-28 13:34,2024-12-01 06:34,Web,スマート勤怠,仕様確認,セキュリティ,要望,3,低,中小,5,クローズ,5,完了,0,0,技術サポート,高橋,2,APIの有無について,他社にはある機能
INQ-202411-00195,2024-11-14 09:54,2024-11-14 11:29,2024-11-16 04:29,電話,クラウド経費,使い方,データ移行,質問,1,高,個人事業主,5,クローズ,5,完了,0,0,一次窓口,佐藤,4,CSVの取込手順が不明,丁寧に教えてほしい
INQ-202412-00196,2024-12-25 15:36,2024-12-25 16:00,2024-12-28 13:00,チャット,スマート勤怠,仕様確認,対応環境,質問,2,中,中小,5,クローズ,5,完了,0,0,一次窓口,佐藤,3,対応ブラウザを確認したい,急ぎで確認したい
INQ-202412-00197,2024-12-25 16:12,2024-12-25 16:50,2024-12-25 22:50,電話,スマート勤怠,仕様確認,上限・制限,要望,1,高,中小,5,クローズ,5,完了,0,0,一次窓口,鈴木,3,APIの有無について,業務効率化のため必要
INQ-202412-00198,2024-12-20 13:27,2024-12-20 15:26,2024-12-21 08:26,Web,クラウド経費,使い方,データ移行,質問,3,低,大企業,4,解決,4,解決,0,0,品質保証,渡辺,3,権限設定について,丁寧に教えてほしい
INQ-202412-00199,2024-12-04 12:41,2024-12-04 16:19,2024-12-07 01:19,チャット,スマート勤怠,仕様確認,対応環境,クレーム,1,高,大企業,5,クローズ,5,完了,0,0,技術サポート,高橋,4,同時接続数の上限は,何度も同じ案内をされた
INQ-202412-00200,2024-12-05 11:43,2024-12-05 18:29,2024-12-06 08:29,メール,スマート勤怠,仕様確認,API・連携,クレーム,2,中,中小,4,解決,4,解決,0,0,品質保証,渡辺,4,同時接続数の上限は,何度も同じ案内をされた
INQ-202412-00201,2024-12-12 15:18,2024-12-12 21:05,2024-12-15 13:05,電話,スマート勤怠,要望,通知改善,障害報告,1,高,大企業,5,クローズ,5,完了,0,0,技術サポート,高橋,2,通知の細分化,影響範囲を知りたい
INQ-202412-00202,2024-12-04 17:41,2024-12-04 20:26,2024-12-07 03:26,電話,クラウド経費,使い方,データ移行,質問,3,低,個人事業主,5,クローズ,5,完了,0,0,技術サポート,伊藤,5,初期設定の方法を知りたい,丁寧に教えてほしい
INQ-202412-00203,2024-12-05 15:10,2024-12-05 19:08,2024-12-07 06:08,メール,クラウド経費,要望,UI改善,要望,3,低,大企業,5,クローズ,5,完了,0,0,一次窓口,佐藤,5,ダークモード対応の希望,他社にはある機能
INQ-202412-00204,2024-12-26 10:08,2024-12-26 13:27,2024-12-28 11:27,チャット,スマート勤怠,要望,機能追加,質問,2,中,個人事業主,4,解決,4,解決,0,1,技術サポート,伊藤,4,通知の細分化,丁寧に教えてほしい
INQ-202412-00205,2024-12-16 17:07,2024-12-16 22:54,2024-12-18 18:54,Web,スマート勤怠,使い方,権限設定,質問,2,中,個人事業主,5,クローズ,5,完了,0,0,技術サポート,高橋,4,権限設定について,丁寧に教えてほしい
INQ-202412-00206,2024-12-24 11:22,2024-12-24 12:05,2024-12-27 03:05,チャット,クラウド経費,使い方,初期設定,質問,2,中,個人事業主,5,クローズ,5,完了,0,0,一次窓口,佐藤,3,CSVの取込手順が不明,丁寧に教えてほしい
INQ-202412-00207,2024-12-17 11:41,2024-12-17 18:07,2024-12-17 21:07,メール,クラウド経費,使い方,データ移行,要望,3,低,中小,5,クローズ,5,完了,0,0,一次窓口,田中,2,権限設定について,業務効率化のため必要
INQ-202412-00208,2024-12-27 10:38,2024-12-27 17:55,2024-12-30 04:55,Web,クラウド経費,要望,通知改善,質問,3,低,中小,5,クローズ,5,完了,0,0,一次窓口,田中,3,通知の細分化,急ぎで確認したい
INQ-202412-00209,2024-12-23 15:45,2024-12-23 16:44,2024-12-23 22:44,メール,スマート勤怠,仕様確認,対応環境,質問,3,低,個人事業主,5,クローズ,5,完了,0,0,一次窓口,鈴木,5,APIの有無について,マニュアルの場所を知りたい
INQ-202412-00210,2024-12-24 12:16,2024-12-24 17:45,2024-12-25 09:45,メール,スマート勤怠,要望,UI改善,質問,1,高,個人事業主,4,解決,4,解決,0,0,一次窓口,佐藤,5,通知の細分化,マニュアルの場所を知りたい
INQ-202412-00211,2024-12-31 13:31,2024-12-31 15:04,2025-01-01 08:04,電話,クラウド経費,不具合,動作が遅い,要望,2,中,中小,5,クローズ,5,完了,1,0,品質保証,渡辺,2,画面が真っ白になる,業務効率化のため必要
INQ-202501-00212,2025-01-29 12:38,2025-01-29 17:05,2025-01-31 08:05,Web,クラウド経費,使い方,権限設定,障害報告,1,高,中小,5,クローズ,5,完了,0,0,一次窓口,鈴木,5,権限設定について,影響範囲を知りたい
INQ-202501-00213,2025-01-21 11:13,2025-01-21 17:21,2025-01-22 08:21,メール,スマート勤怠,使い方,操作方法,障害報告,3,低,中小,5,クローズ,5,完了,0,0,一次窓口,鈴木,5,権限設定について,影響範囲を知りたい
INQ-202501-00214,2025-01-14 15:57,2025-01-14 22:44,2025-01-15 19:44,チャット,スマート勤怠,請求,請求書,質問,1,高,大企業,4,解決,4,解決,0,0,技術サポート,高橋,5,請求書の再発行依頼,丁寧に教えてほしい
INQ-202501-00215,2025-01-23 16:13,2025-01-23 18:19,2025-01-26 12:19,チャット,スマート勤怠,請求,請求書,クレーム,2,中,中小,5,クローズ,5,完了,0,0,一次窓口,鈴木,5,契約プランの変更,何度も同じ案内をされた
INQ-202501-00216,2025-01-22 09:24,2025-01-22 17:15,2025-01-24 17:15,メール,クラウド経費,要望,UI改善,障害報告,3,低,大企業,5,クローズ,5,完了,0,0,一次窓口,佐藤,5,通知の細分化,業務が止まっている
INQ-202501-00217,2025-01-10 13:43,2025-01-10 13:50,2025-01-12 08:50,電話,クラウド経費,仕様確認,対応環境,質問,2,中,中小,5,クローズ,5,完了,0,1,一次窓口,鈴木,4,対応ブラウザを確認したい,丁寧に教えてほしい
INQ-202501-00218,2025-01-30 12:03,2025-01-30 13:42,2025-02-02 08:42,チャット,クラウド経費,請求,プラン変更,質問,2,中,中小,5,クローズ,5,完了,0,0,技術サポート,伊藤,1,契約プランの変更,マニュアルの場所を知りたい
INQ-202501-00219,2025-01-13 10:14,2025-01-13 13:16,2025-01-15 23:16,Web,クラウド経費,使い方,権限設定,質問,2,中,中小,4,解決,4,解決,0,0,品質保証,渡辺,3,権限設定について,丁寧に教えてほしい
INQ-202501-00220,2025-01-31 09:56,2025-01-31 14:21,2025-02-03 00:21,メール,クラウド経費,要望,UI改善,質問,1,高,中小,5,クローズ,5,完了,0,0,一次窓口,佐藤,4,通知の細分化,丁寧に教えてほしい
INQ-202501-00221,2025-01-17 10:06,2025-01-17 11:04,2025-01-18 14:04,電話,クラウド経費,不具合,ログイン不可,クレーム,2,中,大企業,5,クローズ,5,完了,1,1,一次窓口,鈴木,4,画面が真っ白になる,何度も同じ案内をされた
INQ-202501-00222,2025-01-27 17:47,2025-01-27 21:20,2025-01-29 23:20,チャット,スマート勤怠,仕様確認,対応環境,質問,3,低,大企業,5,クローズ,5,完了,0,0,技術サポート,高橋,4,同時接続数の上限は,丁寧に教えてほしい
INQ-202501-00223,2025-01-13 15:34,2025-01-13 16:23,2025-01-15 05:23,電話,クラウド経費,使い方,初期設定,要望,3,低,大企業,5,クローズ,5,完了,0,0,一次窓口,鈴木,5,CSVの取込手順が不明,業務効率化のため必要
INQ-202501-00224,2025-01-01 13:34,2025-01-01 13:44,2025-01-04 12:44,電話,クラウド経費,請求,支払方法,質問,2,中,中小,5,クローズ,5,完了,0,0,技術サポート,伊藤,5,請求書の再発行依頼,丁寧に教えてほしい
